feature_name,organism,gene_symbol,is_current
E9Q8T7,mus musculus,Dnah1,1
E9Q912,mus musculus,Rap1gds1,1
E9Q956,mus musculus,Mcmdc2,1
E9Q9A9,mus musculus,Oas2,1
E9Q9D5,mus musculus,Rabl2,1
E9Q9F6,mus musculus,Catsperd,1
E9Q9F7,mus musculus,Ccdc146,1
E9Q9H8,mus musculus,Tm4sf19,1
E9Q9K5,mus musculus,Trdn,1
E9Q9K8,mus musculus,Akap6,1
E9Q9M1,mus musculus,Nt5c2,1
E9Q9M8,mus musculus,Pwwp2b,1
E9Q9R9,mus musculus,Dlg5,1
E9Q9T4,mus musculus,Adcy10,1
E9Q9U0,mus musculus,Usp17lb,1
E9Q9W4,mus musculus,Slc27a6,1
E9Q9W7,mus musculus,Pdzd7,1
E9QA28,mus musculus,Ceacam16,1
E9QA62,mus musculus,Lmod3,1
E9QAG8,mus musculus,Znf431,1
E9QAI5,mus musculus,Cad,1
E9QAM5,mus musculus,Helz2,1
E9QAQ5,mus musculus,Gsk3b,1
E9QAS8,mus musculus,Fmr1,1
E9QAT0,mus musculus,Fmr1,1
E9QAT4,mus musculus,Sec16a,1
E9QAU8,mus musculus,Ark2c,1
E9QK53,mus musculus,Fgfr2,1
E9QL53,mus musculus,Cit,1
E9QLQ7,mus musculus,Rab29,1
E9QMC2,mus musculus,Grm5,1
E9QN12,mus musculus,Pdgfrb,1
E9QNF7,mus musculus,Cntnap2,1
E9QNJ9,mus musculus,Fgfr3,1
E9QNL4,mus musculus,Chuk,1
E9QNN1,mus musculus,Dhx9,1
E9QNX9,mus musculus,Igf1r,1
E9QNZ9,mus musculus,Pnpla3,1
E9QQ30,mus musculus,Eif2ak3,1
F2Y0K5,mus musculus,Prdm9,1
F2YMG0,mus musculus,Prss56,1
F2Z3U6,mus musculus,Hsd11b1,1
F2Z461,mus musculus,Herc6,1
F6QCP8,mus musculus,Ace,1
F6QGD9,mus musculus,Entpd1,1
F6RTC2,mus musculus,Pla2g4a,1
F6SEU4,mus musculus,Syngap1,1
F6TK14,mus musculus,Fgfr3,1
F6TQD1,mus musculus,Rnf212,1
F6VAN0,mus musculus,Atf6,1
F6ZDS4,mus musculus,Tpr,1
F7B9M9,mus musculus,Entpd1,1
F7BJB9,mus musculus,Morc3,1
F7BQW7,mus musculus,Synj1,1
F7BWT7,mus musculus,Tspan15,1
F7CGH1,mus musculus,Hsd17b10,1
F8VPJ6,mus musculus,Rfx7,1
F8VPK5,mus musculus,Rock2,1
F8VPN2,mus musculus,Tex15,1
F8VPN4,mus musculus,Agl,1
F8VPQ2,mus musculus,Arid4a,1
F8VPR5,mus musculus,Crebbp,1
F8VPT3,mus musculus,Lct,1
F8VPU2,mus musculus,Farp1,1
F8VPZ5,mus musculus,Ercc6,1
F8VQ03,mus musculus,Adam3,1
F8VQ29,mus musculus,Iqgap3,1
F8VQA4,mus musculus,Pam,1
F8VQB6,mus musculus,Myo10,1
F8VQH0,mus musculus,Abl2,1
F8VQL0,mus musculus,Met,1
F8VQN3,mus musculus,Gpr31,1
F8WH10,mus musculus,Vegfa,1
G3UW82,mus musculus,Myh2,1
G3UWN2,mus musculus,Cad,1
G3UXB3,mus musculus,Nkx1-1,1
G3UXY9,mus musculus,Enpp2,1
G3UYQ4,mus musculus,Ak9,1
G3UZ78,mus musculus,Adgb,1
G3X8U9,mus musculus,Mapk8,1
G3X8Y1,mus musculus,Trim55,1
G3X8Y8,mus musculus,Tlr2,1
G3X8Z7,mus musculus,Chrna9,1
G3X912,mus musculus,Sprtn,1
G3X939,mus musculus,Slc9a3,1
G3X940,mus musculus,Kat6a,1
G3X943,mus musculus,Slc39a2,1
G3X972,mus musculus,Sec24c,1
G3X982,mus musculus,Aox3,1
G3X9H5,mus musculus,Htt,1
G3X9J0,mus musculus,Sipa1l3,1
G3X9K3,mus musculus,Arfgef1,1
G3X9S2,mus musculus,Enpp1,1
