feature_name,organism,gene_symbol,is_current
Q9P0M2,homo sapiens,AKA7G,1
P0CW23,homo sapiens,AKAI1,1
Q92667,homo sapiens,AKAP1,1
O75969,homo sapiens,AKAP3,1
Q5JQC9,homo sapiens,AKAP4,1
P24588,homo sapiens,AKAP5,1
Q13023,homo sapiens,AKAP6,1
O43823,homo sapiens,AKAP8,1
Q99996,homo sapiens,AKAP9,1
Q5T2L2,homo sapiens,AKCL1,1
Q96JD6,homo sapiens,AKCL2,1
Q495B1,homo sapiens,AKD1A,1
A6NHY2,homo sapiens,AKD1B,1
Q9P2G1,homo sapiens,AKIB1,1
Q9NQ31,homo sapiens,AKIP1,1
Q9NWT8,homo sapiens,AKIP,1
Q9H9L7,homo sapiens,AKIR1,1
Q53H80,homo sapiens,AKIR2,1
Q7Z591,homo sapiens,AKNA,1
Q5T1N1,homo sapiens,AKND1,1
Q12802,homo sapiens,AKP13,1
Q9ULX6,homo sapiens,AKP8L,1
P31749,homo sapiens,AKT1,1
P31751,homo sapiens,AKT2,1
Q9Y243,homo sapiens,AKT3,1
Q9H8T0,homo sapiens,AKTIP,1
Q96B36,homo sapiens,AKTS1,1
Q8N8R7,homo sapiens,AL14E,1
P00352,homo sapiens,AL1A1,1
O94788,homo sapiens,AL1A2,1
P47895,homo sapiens,AL1A3,1
P30837,homo sapiens,AL1B1,1
O75891,homo sapiens,AL1L1,1
Q3SY69,homo sapiens,AL1L2,1
Q60I27,homo sapiens,AL2CL,1
P30838,homo sapiens,AL3A1,1
P51648,homo sapiens,AL3A2,1
P43353,homo sapiens,AL3B1,1
P48448,homo sapiens,AL3B2,1
P30038,homo sapiens,AL4A1,1
P20292,homo sapiens,AL5AP,1
P49419,homo sapiens,AL7A1,1
Q9H2A2,homo sapiens,AL8A1,1
P49189,homo sapiens,AL9A1,1
P24298,homo sapiens,ALAT1,1
Q8TD30,homo sapiens,ALAT2,1
P02768,homo sapiens,ALBU,1
P05091,homo sapiens,ALDH2,1
P04075,homo sapiens,ALDOA,1
P05062,homo sapiens,ALDOB,1
P09972,homo sapiens,ALDOC,1
P15121,homo sapiens,ALDR,1
P84996,homo sapiens,ALEX,1
Q2TAA5,homo sapiens,ALG11,1
Q9BV10,homo sapiens,ALG12,1
Q9NP73,homo sapiens,ALG13,1
Q96F25,homo sapiens,ALG14,1
Q9BT22,homo sapiens,ALG1,1
Q9H553,homo sapiens,ALG2,1
Q92685,homo sapiens,ALG3,1
Q9Y673,homo sapiens,ALG5,1
Q9Y672,homo sapiens,ALG6,1
Q9BVK2,homo sapiens,ALG8,1
Q9H6U8,homo sapiens,ALG9,1
Q13686,homo sapiens,ALKB1,1
Q6NS38,homo sapiens,ALKB2,1
Q96Q83,homo sapiens,ALKB3,1
Q9NXW9,homo sapiens,ALKB4,1
Q6P6C2,homo sapiens,ALKB5,1
Q3KRA9,homo sapiens,ALKB6,1
Q9BT30,homo sapiens,ALKB7,1
Q96BT7,homo sapiens,ALKB8,1
Q6UXT8,homo sapiens,ALKL1,1
Q6UX46,homo sapiens,ALKL2,1
Q6ZNB7,homo sapiens,ALKMO,1
Q9UM73,homo sapiens,ALK,1
Q8N6M5,homo sapiens,ALLC,1
Q8TCU4,homo sapiens,ALMS1,1
Q96QP1,homo sapiens,ALPK1,1
Q86TB3,homo sapiens,ALPK2,1
Q96L96,homo sapiens,ALPK3,1
P55789,homo sapiens,ALR,1
Q96Q42,homo sapiens,ALS2,1
P35858,homo sapiens,ALS,1
Q15699,homo sapiens,ALX1,1
O95076,homo sapiens,ALX3,1
Q9H161,homo sapiens,ALX4,1
Q9UHK6,homo sapiens,AMACR,1
Q9NP70,homo sapiens,AMBN,1
P02760,homo sapiens,AMBP,1
P19021,homo sapiens,AMD,1
Q99217,homo sapiens,AMELX,1
Q99218,homo sapiens,AMELY,1
